43.11,28.15,46.18,39.27,55.81,36.42,44.87,44.51,43.92,0.65,44.67,41.4,5.25,37.73,48.71,25.39,56.31,56.69,26.67,36.37
10.85,38.07,31.73,62.57,41.29,39.61,33.19,49.06,27.74,33.48,32.9,22.55,5.8,11.43,50.31,2.99,53.25,44.68,9.72,19.24
43.99,5.64,48.48,3.7,23.22,19.91,21.64,53.77,40.74,17.42,56.02,21.97,25.21,23.91,50.43,55.83,43.6,22.29,53.43,13.09
60.48,45.94,35.75,12.98,17.24,36.37,46.92,37.45,60.71,35.06,43.99,52.22,18.71,47.63,36.76,24.24,3.74,36,23.25,49.7
3.45,27.16,23.7,41.96,2.28,10.06,46.44,7.17,0.66,43.06,36.32,36.52,1.81,48.19,24.28,14.63,56.15,8.83,7.72,22.62
24.61,43.72,45.87,23.26,39.24,38.32,38.75,45.41,59.82,14.61,33.08,27.93,30.85,14.32,3.86,42.13,34.84,33.23,64.38,24.48
47.68,44.71,37.76,39.14,35.18,21.95,15.7,6.69,24.46,51.49,5.18,52.98,2.46,4.85,12.92,33.13,43.91,46.36,43.9,56.17
15.13,20.99,24.28,52.69,55.39,46.32,55.35,33.32,31.33,39.3,41.52,38.16,45.33,25.13,16.37,24.5,57.89,14.15,5.42,29.69
32.48,19.86,55.52,13.65,56.82,41,47.24,21.74,29.69,38.55,30.6,38.91,58.3,31.46,62.39,57.13,40.41,40.92,9.41,26.03
55.66,34.37,56.45,21.5,30.91,51.05,47.7,44.8,31.52,17.18,43.53,42.61,56.51,2.51,6.4,55.54,54.98,26.02,28.91,44.59
35.36,28.29,9.14,37.72,22.33,41.55,34.15,45.4,51.84,2.97,1.74,18.13,42.48,35.75,18.84,25.98,21.71,62.61,42.5,56.06
36.82,45.47,29.62,62.92,43.85,11.39,36.26,29.8,25.83,60.72,55.8,4.78,36.15,29.6,-0.03,38.02,37.7,21.98,42.09,57.76
14.11,27.54,6.25,12.76,58.89,29.93,34.27,55.24,33.94,47.91,59.72,14.66,12.06,22.5,59.85,14.54,46.39,7.5,9.85,9.49
29.61,47.08,19.93,44.32,22.21,57.36,9.13,22.32,50.52,4.02,33.28,23.5,53.55,52.99,0.65,42.23,42.01,48.51,6.79,39.62
47.32,0.61,31.21,40.17,38.44,32.73,25.84,21.02,49.63,56.61,6.8,4.74,5.78,33.58,27.32,23.06,12.81,23.25,1.15,44.49
3.76,20.54,1.88,13.77,54.44,34.09,23.03,2.55,12.41,4.55,16.28,10.76,46.59,9.66,39.95,6.87,25.59,25.56,13.84,17.08
27.93,7.01,15.71,49.4,42.54,31.72,65.13,37.57,57.05,52.58,42.19,56.9,44.84,42.54,11.55,6.56,49.87,26.19,35.7,36.93
29.63,26.43,7.73,56.17,16.46,37.02,24.19,54.06,21.95,6.4,15.49,48.03,52.3,50.04,28.53,8.36,60.2,55.34,36.12,20.52
21.68,54.44,23.69,57.19,58.17,11.13,18.47,53.35,28.67,32.33,2.39,1.76,17.74,49.7,32.41,55.16,41.8,53.64,27.6,32.17
29.26,4.02,3.22,44.76,23.4,55.02,46.99,49.39,31.68,11.11,17.09,13.94,16.71,40.48,36.11,47.97,24.79,10.41,61.79,14.24
